Subj,D,risk_1d
1,-0.347322,0.2817138
2,-0.482204,0.47588694
3,-0.382862,0.0991827
4,-0.476194,0.3134696
5,-0.436207,-0.33999041
6,-0.318974,0.0039614
7,-0.426596,-0.49354441
8,-0.444287,-0.46050141
9,-0.497091,-0.42953884
10,-0.332319,-0.7840858
11,-0.416578,0.4129195
12,-0.380822,-0.37077355
13,-0.431969,0.0700439999999999
14,-0.433644,0.81525879
15,-0.490514,0.2272732
16,-0.422344,-0.4298235
17,-0.347481,-0.3888664
18,-0.340496,-0.452699
19,-0.559074,-0.11279971
20,-0.432422,-0.3844702
21,-0.356798,-0.4477459
22,-0.31635,-0.18904046
23,-0.450085,-0.3123047
24,-0.516588,-0.05712201
25,-0.348463,-0.58661751
26,-0.511018,-0.13290474
27,-0.386488,0.5357665
28,-0.408341,0.15330621
29,-0.484413,-0.6336756
30,-0.529679,-0.15451541
31,-0.439062,0.2557359
32,-0.495237,-0.37041621
33,-0.473537,0.65825949
34,-0.370421,-0.2578955
35,-0.486956,-0.0627175000000001
36,-0.570973,-0.2859351
37,-0.39776,0.64483811
38,-0.371017,-0.48355071
39,-0.437751,-0.74125801
40,-0.387373,0.86862459
41,-0.402891,-0.41922254
42,0.459461,-0.6234333
43,-0.594891,-0.3219097
44,0.42135,0.85187804
45,0.459146,1.04414707
46,-0.639723,-0.12615051
47,0.414954,0.7341035
48,0.455506,-0.33651381
49,-0.475087,-0.71820484
50,-0.560919,-0.45621455
51,-0.469372,0.77946199
52,-0.0124977,-0.1953262
53,-0.56888,-0.4078531
54,-0.604259,-0.46830011
55,-0.540243,0.57517629
56,0.447493,0.27389529
57,-0.555848,-0.94737635
58,0.524013,-0.36232234
59,0.383564,0.50260996
60,0.496332,0.4479581
61,-0.510092,-0.60568311
62,-0.590454,-0.18908426
63,-0.62907,-0.5725864
64,-0.543466,-0.00947661000000003
65,-0.596421,-0.0569676900000001
66,-0.545132,-0.40639831
67,0.386014,0.36958249
68,-0.534411,0.57475616
69,0.337345,0.62471841
70,0.410954,0.28340686
71,0.430935,-0.4223924
72,-0.0154272,0.45218469
73,0.362875,0.51158289
74,0.443202,0.18744104
75,0.364104,-0.52638003
76,0.472199,-0.3886921
77,0.424742,0.991010310000001
78,0.480386,1.342558
79,0.424261,0.92330434
80,0.416301,1.3255928
81,0.487154,-0.43999289
82,-0.486798,0.1776711
83,0.416557,-0.28614696
84,0.541788,-0.47932861
85,-0.506085,-0.27650481
86,0.465288,0.72535
87,-0.69571,-0.20838135
88,-0.601396,0.6813829
89,0.364427,1.211121
90,0.505458,-0.253029
91,0.424436,0.49206195
92,-0.613835,0.6167348
93,-0.555789,0.32467536
94,0.334746,-0.08649616
95,-0.20547,0.8991076
96,0.4745,-0.56295841
97,0.439397,-0.33270049
98,0.438586,-0.6847214
99,-0.507038,-0.34412581
100,-0.467908,-0.50264864
101,-0.572008,0.41967231
102,0.482671,1.25065236
103,0.408632,1.4820474
104,-0.329733,-0.3752807
105,0.500199,0.3375705
106,0.484259,-0.3726609
107,0.444579,-0.68142721
108,0.512828,0.33731009
109,0.355732,-0.36650541
110,0.538605,1.22651129
111,-0.550853,0.43585909
112,0.499116,0.51939485
113,-0.553603,-0.18416891
114,0.38244,0.01604049
115,-0.0633565,0.75345259
116,0.332126,-0.50424244
117,-0.578603,-0.30826661
118,-0.56858,-0.8346966
119,-0.455139,0.1418413
120,0.543606,-0.4092202
121,-0.0714008,-0.4708498
122,-0.531738,-0.4060494
123,0.423106,1.09100484
124,-0.479272,-0.5008223
125,0.475801,0.6655297
126,0.479683,-0.33574789
127,-0.02086,-0.59595761
128,-0.489591,-0.55905871
129,-0.235105,-0.43396671
130,0.385679,0.3075698
131,0.461462,0.89351321
132,0.395191,0.50190769
133,0.415828,0.70949929
134,-0.487441,0.17196279
135,-0.256203,-0.24489121
136,-0.563592,-0.41883581
137,-0.546232,-0.1513068
138,-0.521811,0.0802928
139,0.405224,1.45438741
140,0.385443,0.75535719
141,-0.600246,0.383526
142,-0.0495895,-0.56563029
143,0.469641,0.43901419
144,-0.559705,-0.88540261
145,-0.030956,0.00122399999999996
146,-0.287139,0.20850433
147,0.515083,0.55092099
148,-0.610146,-0.3450755
149,0.385864,0.2629976
150,-0.585856,-0.61652139
151,0.403036,-0.1902736
152,-0.553057,-0.23616695
153,-0.538897,-0.33441874
154,0.420322,-0.4518323
155,-0.507934,-0.4202043
156,-0.0230825,-0.49920991
157,-0.432095,0.10089199
